TeamName,RacePoints,EventName,RoundNumber,EventDate,CumulativePoints,TeamForm_Last3
Alpine,0.0,Bahrain Grand Prix,1,2024-03-02,0.0,0.0
Alpine,0.0,Saudi Arabian Grand Prix,2,2024-03-09,0.0,0.0
Alpine,0.0,Australian Grand Prix,3,2024-03-24,0.0,0.0
Alpine,0.0,Japanese Grand Prix,4,2024-04-07,0.0,0.0
Alpine,0.0,Chinese Grand Prix,5,2024-04-21,0.0,0.0
Alpine,1.0,Miami Grand Prix,6,2024-05-05,1.0,0.33
Alpine,0.0,Emilia Romagna Grand Prix,7,2024-05-19,1.0,0.33
Alpine,1.0,Monaco Grand Prix,8,2024-05-26,2.0,0.67
Alpine,3.0,Canadian Grand Prix,9,2024-06-09,5.0,1.33
Alpine,3.0,Spanish Grand Prix,10,2024-06-23,8.0,2.33
Alpine,1.0,Austrian Grand Prix,11,2024-06-30,9.0,2.33
Alpine,0.0,British Grand Prix,12,2024-07-07,9.0,1.33
Alpine,0.0,Hungarian Grand Prix,13,2024-07-21,9.0,0.33
Alpine,2.0,Belgian Grand Prix,14,2024-07-28,11.0,0.67
Alpine,2.0,Dutch Grand Prix,15,2024-08-25,13.0,1.33
Alpine,0.0,Italian Grand Prix,16,2024-09-01,13.0,1.33
Alpine,0.0,Azerbaijan Grand Prix,17,2024-09-15,13.0,0.67
Alpine,0.0,Singapore Grand Prix,18,2024-09-22,13.0,0.0
Alpine,0.0,United States Grand Prix,19,2024-10-20,13.0,0.0
Alpine,1.0,Mexico City Grand Prix,20,2024-10-27,14.0,0.33
Alpine,33.0,São Paulo Grand Prix,21,2024-11-03,47.0,11.33
Alpine,0.0,Las Vegas Grand Prix,22,2024-11-23,47.0,11.33
Alpine,10.0,Qatar Grand Prix,23,2024-12-01,57.0,14.33
Alpine,6.0,Abu Dhabi Grand Prix,24,2024-12-08,63.0,5.33
Aston Martin,3.0,Bahrain Grand Prix,1,2024-03-02,3.0,3.0
Aston Martin,10.0,Saudi Arabian Grand Prix,2,2024-03-09,13.0,6.5
Aston Martin,12.0,Australian Grand Prix,3,2024-03-24,25.0,8.33
Aston Martin,8.0,Japanese Grand Prix,4,2024-04-07,33.0,10.0
Aston Martin,7.0,Chinese Grand Prix,5,2024-04-21,40.0,9.0
Aston Martin,2.0,Miami Grand Prix,6,2024-05-05,42.0,5.67
Aston Martin,2.0,Emilia Romagna Grand Prix,7,2024-05-19,44.0,3.67
Aston Martin,0.0,Monaco Grand Prix,8,2024-05-26,44.0,1.33
Aston Martin,14.0,Canadian Grand Prix,9,2024-06-09,58.0,5.33
Aston Martin,0.0,Spanish Grand Prix,10,2024-06-23,58.0,4.67
Aston Martin,0.0,Austrian Grand Prix,11,2024-06-30,58.0,4.67
Aston Martin,10.0,British Grand Prix,12,2024-07-07,68.0,3.33
Aston Martin,1.0,Hungarian Grand Prix,13,2024-07-21,69.0,3.67
Aston Martin,4.0,Belgian Grand Prix,14,2024-07-28,73.0,5.0
Aston Martin,1.0,Dutch Grand Prix,15,2024-08-25,74.0,2.0
Aston Martin,0.0,Italian Grand Prix,16,2024-09-01,74.0,1.67
Aston Martin,8.0,Azerbaijan Grand Prix,17,2024-09-15,82.0,3.0
Aston Martin,4.0,Singapore Grand Prix,18,2024-09-22,86.0,4.0
Aston Martin,0.0,United States Grand Prix,19,2024-10-20,86.0,4.0
Aston Martin,0.0,Mexico City Grand Prix,20,2024-10-27,86.0,1.33
Aston Martin,0.0,São Paulo Grand Prix,21,2024-11-03,86.0,0.0
Aston Martin,0.0,Las Vegas Grand Prix,22,2024-11-23,86.0,0.0
Aston Martin,6.0,Qatar Grand Prix,23,2024-12-01,92.0,2.0
Aston Martin,2.0,Abu Dhabi Grand Prix,24,2024-12-08,94.0,2.67
Ferrari,27.0,Bahrain Grand Prix,1,2024-03-02,27.0,27.0
Ferrari,22.0,Saudi Arabian Grand Prix,2,2024-03-09,49.0,24.5
Ferrari,44.0,Australian Grand Prix,3,2024-03-24,93.0,31.0
Ferrari,27.0,Japanese Grand Prix,4,2024-04-07,120.0,31.0
Ferrari,22.0,Chinese Grand Prix,5,2024-04-21,142.0,31.0
Ferrari,25.0,Miami Grand Prix,6,2024-05-05,167.0,24.67
Ferrari,25.0,Emilia Romagna Grand Prix,7,2024-05-19,192.0,24.0
Ferrari,40.0,Monaco Grand Prix,8,2024-05-26,232.0,30.0
Ferrari,0.0,Canadian Grand Prix,9,2024-06-09,232.0,21.67
Ferrari,18.0,Spanish Grand Prix,10,2024-06-23,250.0,19.33
Ferrari,15.0,Austrian Grand Prix,11,2024-06-30,265.0,11.0
Ferrari,11.0,British Grand Prix,12,2024-07-07,276.0,14.67
Ferrari,20.0,Hungarian Grand Prix,13,2024-07-21,296.0,15.33
Ferrari,23.0,Belgian Grand Prix,14,2024-07-28,319.0,18.0
Ferrari,25.0,Dutch Grand Prix,15,2024-08-25,344.0,22.67
Ferrari,37.0,Italian Grand Prix,16,2024-09-01,381.0,28.33
Ferrari,18.0,Azerbaijan Grand Prix,17,2024-09-15,399.0,26.67
Ferrari,16.0,Singapore Grand Prix,18,2024-09-22,415.0,23.67
Ferrari,43.0,United States Grand Prix,19,2024-10-20,458.0,25.67
Ferrari,41.0,Mexico City Grand Prix,20,2024-10-27,499.0,33.33
Ferrari,10.0,São Paulo Grand Prix,21,2024-11-03,509.0,31.33
Ferrari,27.0,Las Vegas Grand Prix,22,2024-11-23,536.0,26.0
Ferrari,26.0,Qatar Grand Prix,23,2024-12-01,562.0,21.0
Ferrari,33.0,Abu Dhabi Grand Prix,24,2024-12-08,595.0,28.67
Haas F1 Team,0.0,Bahrain Grand Prix,1,2024-03-02,0.0,0.0
Haas F1 Team,1.0,Saudi Arabian Grand Prix,2,2024-03-09,1.0,0.5
Haas F1 Team,3.0,Australian Grand Prix,3,2024-03-24,4.0,1.33
Haas F1 Team,0.0,Japanese Grand Prix,4,2024-04-07,4.0,1.33
Haas F1 Team,1.0,Chinese Grand Prix,5,2024-04-21,5.0,1.33
Haas F1 Team,0.0,Miami Grand Prix,6,2024-05-05,5.0,0.33
Haas F1 Team,0.0,Emilia Romagna Grand Prix,7,2024-05-19,5.0,0.33
Haas F1 Team,0.0,Monaco Grand Prix,8,2024-05-26,5.0,0.0
