Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Team,TrackStatus,IsPersonalBest,LapTimeSeconds,GrandPrix,Year
VER,1,1.0,0 days 00:01:37.284000,,0 days 00:00:41.266000,0 days 00:00:23.616000,SOFT,4.0,False,Red Bull Racing,12,False,97.284,Bahrain,2024
VER,1,2.0,0 days 00:01:36.296000,0 days 00:00:30.916000,0 days 00:00:41.661000,0 days 00:00:23.719000,SOFT,5.0,False,Red Bull Racing,1,True,96.296,Bahrain,2024
VER,1,3.0,0 days 00:01:36.753000,0 days 00:00:30.999000,0 days 00:00:41.966000,0 days 00:00:23.788000,SOFT,6.0,False,Red Bull Racing,1,False,96.753,Bahrain,2024
VER,1,4.0,0 days 00:01:36.647000,0 days 00:00:30.931000,0 days 00:00:41.892000,0 days 00:00:23.824000,SOFT,7.0,False,Red Bull Racing,1,False,96.647,Bahrain,2024
VER,1,5.0,0 days 00:01:37.173000,0 days 00:00:31.255000,0 days 00:00:42.056000,0 days 00:00:23.862000,SOFT,8.0,False,Red Bull Racing,1,False,97.173,Bahrain,2024
VER,1,6.0,0 days 00:01:37.092000,0 days 00:00:31.041000,0 days 00:00:42.187000,0 days 00:00:23.864000,SOFT,9.0,False,Red Bull Racing,1,False,97.092,Bahrain,2024
VER,1,7.0,0 days 00:01:37.038000,0 days 00:00:31.015000,0 days 00:00:42.118000,0 days 00:00:23.905000,SOFT,10.0,False,Red Bull Racing,1,False,97.038,Bahrain,2024
VER,1,8.0,0 days 00:01:37.024000,0 days 00:00:31.041000,0 days 00:00:42.077000,0 days 00:00:23.906000,SOFT,11.0,False,Red Bull Racing,1,False,97.024,Bahrain,2024
VER,1,9.0,0 days 00:01:37.229000,0 days 00:00:31.100000,0 days 00:00:42.166000,0 days 00:00:23.963000,SOFT,12.0,False,Red Bull Racing,1,False,97.229,Bahrain,2024
VER,1,10.0,0 days 00:01:36.960000,0 days 00:00:30.986000,0 days 00:00:42.009000,0 days 00:00:23.965000,SOFT,13.0,False,Red Bull Racing,12,False,96.96,Bahrain,2024
VER,1,11.0,0 days 00:01:37.085000,0 days 00:00:30.974000,0 days 00:00:42.142000,0 days 00:00:23.969000,SOFT,14.0,False,Red Bull Racing,21,False,97.085,Bahrain,2024
VER,1,12.0,0 days 00:01:37.045000,0 days 00:00:30.966000,0 days 00:00:42.091000,0 days 00:00:23.988000,SOFT,15.0,False,Red Bull Racing,1,False,97.045,Bahrain,2024
VER,1,13.0,0 days 00:01:37.030000,0 days 00:00:30.964000,0 days 00:00:42.055000,0 days 00:00:24.011000,SOFT,16.0,False,Red Bull Racing,1,False,97.03,Bahrain,2024
