Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Team,TrackStatus,IsPersonalBest,LapTimeSeconds
LEC,16,1.0,0 days 00:40:56.330000,,0 days 00:00:46.389000,,MEDIUM,1.0,True,Ferrari,1254,False,2456.33
LEC,16,2.0,,0 days 00:00:26.854000,0 days 00:00:41.743000,,HARD,1.0,True,Ferrari,14,False,
LEC,16,3.0,0 days 00:01:24.624000,0 days 00:00:24.007000,0 days 00:00:38.235000,0 days 00:00:22.382000,HARD,2.0,True,Ferrari,1,True,84.624
LEC,16,4.0,0 days 00:01:22.625000,0 days 00:00:21.892000,0 days 00:00:38.779000,0 days 00:00:21.954000,HARD,3.0,True,Ferrari,1,True,82.625
LEC,16,5.0,0 days 00:01:21.795000,0 days 00:00:21.314000,0 days 00:00:38.513000,0 days 00:00:21.968000,HARD,4.0,True,Ferrari,1,True,81.795
LEC,16,6.0,0 days 00:01:21.145000,0 days 00:00:21.568000,0 days 00:00:38.168000,0 days 00:00:21.409000,HARD,5.0,True,Ferrari,1,True,81.145
LEC,16,7.0,0 days 00:01:20.980000,0 days 00:00:21.370000,0 days 00:00:38.056000,0 days 00:00:21.554000,HARD,6.0,True,Ferrari,1,True,80.98
LEC,16,8.0,0 days 00:01:21.030000,0 days 00:00:21.250000,0 days 00:00:38.171000,0 days 00:00:21.609000,HARD,7.0,True,Ferrari,1,False,81.03
LEC,16,9.0,0 days 00:01:20.114000,0 days 00:00:21.092000,0 days 00:00:37.612000,0 days 00:00:21.410000,HARD,8.0,True,Ferrari,1,True,80.114
LEC,16,10.0,0 days 00:01:20.775000,0 days 00:00:21.036000,0 days 00:00:37.886000,0 days 00:00:21.853000,HARD,9.0,True,Ferrari,1,False,80.775
LEC,16,11.0,0 days 00:01:21.046000,0 days 00:00:21.279000,0 days 00:00:38.236000,0 days 00:00:21.531000,HARD,10.0,True,Ferrari,1,False,81.046
LEC,16,12.0,0 days 00:01:20.252000,0 days 00:00:20.949000,0 days 00:00:37.730000,0 days 00:00:21.573000,HARD,11.0,True,Ferrari,1,False,80.252
LEC,16,13.0,0 days 00:01:19.017000,0 days 00:00:20.818000,0 days 00:00:36.898000,0 days 00:00:21.301000,HARD,12.0,True,Ferrari,1,True,79.017
LEC,16,14.0,0 days 00:01:19.913000,0 days 00:00:20.847000,0 days 00:00:38.003000,0 days 00:00:21.063000,HARD,13.0,True,Ferrari,1,False,79.913
LEC,16,15.0,0 days 00:01:19.838000,0 days 00:00:20.763000,0 days 00:00:37.770000,0 days 00:00:21.305000,HARD,14.0,True,Ferrari,1,False,79.838
LEC,16,16.0,0 days 00:01:20.156000,0 days 00:00:21.139000,0 days 00:00:37.516000,0 days 00:00:21.501000,HARD,15.0,True,Ferrari,1,False,80.156
LEC,16,17.0,0 days 00:01:20.279000,0 days 00:00:20.925000,0 days 00:00:37.498000,0 days 00:00:21.856000,HARD,16.0,True,Ferrari,1,False,80.279
LEC,16,18.0,0 days 00:01:19.580000,0 days 00:00:20.612000,0 days 00:00:37.578000,0 days 00:00:21.390000,HARD,17.0,True,Ferrari,1,False,79.58
LEC,16,19.0,0 days 00:01:18.842000,0 days 00:00:20.806000,0 days 00:00:36.890000,0 days 00:00:21.146000,HARD,18.0,True,Ferrari,1,True,78.842
LEC,16,20.0,0 days 00:01:18.724000,0 days 00:00:20.573000,0 days 00:00:37.018000,0 days 00:00:21.133000,HARD,19.0,True,Ferrari,1,True,78.724
LEC,16,21.0,0 days 00:01:18.472000,0 days 00:00:20.609000,0 days 00:00:36.874000,0 days 00:00:20.989000,HARD,20.0,True,Ferrari,1,True,78.472
LEC,16,22.0,0 days 00:01:18.620000,0 days 00:00:20.591000,0 days 00:00:37.004000,0 days 00:00:21.025000,HARD,21.0,True,Ferrari,1,False,78.62
LEC,16,23.0,0 days 00:01:18.458000,0 days 00:00:20.638000,0 days 00:00:36.755000,0 days 00:00:21.065000,HARD,22.0,True,Ferrari,1,True,78.458
LEC,16,24.0,0 days 00:01:18.725000,0 days 00:00:20.436000,0 days 00:00:37.261000,0 days 00:00:21.028000,HARD,23.0,True,Ferrari,1,False,78.725
LEC,16,25.0,0 days 00:01:18.973000,0 days 00:00:20.408000,0 days 00:00:37.435000,0 days 00:00:21.130000,HARD,24.0,True,Ferrari,1,False,78.973
LEC,16,26.0,0 days 00:01:18.445000,0 days 00:00:20.305000,0 days 00:00:37.048000,0 days 00:00:21.092000,HARD,25.0,True,Ferrari,1,True,78.445
LEC,16,27.0,0 days 00:01:18.351000,0 days 00:00:20.507000,0 days 00:00:36.769000,0 days 00:00:21.075000,HARD,26.0,True,Ferrari,1,True,78.351
LEC,16,28.0,0 days 00:01:18.710000,0 days 00:00:20.535000,0 days 00:00:37.208000,0 days 00:00:20.967000,HARD,27.0,True,Ferrari,1,False,78.71
LEC,16,29.0,0 days 00:01:19.053000,0 days 00:00:20.429000,0 days 00:00:37.312000,0 days 00:00:21.312000,HARD,28.0,True,Ferrari,1,False,79.053
LEC,16,30.0,0 days 00:01:19.935000,0 days 00:00:21.091000,0 days 00:00:37.380000,0 days 00:00:21.464000,HARD,29.0,True,Ferrari,1,False,79.935
LEC,16,31.0,0 days 00:01:18.393000,0 days 00:00:20.706000,0 days 00:00:36.687000,0 days 00:00:21,HARD,30.0,True,Ferrari,1,False,78.393
LEC,16,32.0,0 days 00:01:19.125000,0 days 00:00:20.483000,0 days 00:00:37.216000,0 days 00:00:21.426000,HARD,31.0,True,Ferrari,1,False,79.125
LEC,16,33.0,0 days 00:01:18.494000,0 days 00:00:20.510000,0 days 00:00:36.916000,0 days 00:00:21.068000,HARD,32.0,True,Ferrari,1,False,78.494
LEC,16,34.0,0 days 00:01:19.319000,0 days 00:00:20.412000,0 days 00:00:37.589000,0 days 00:00:21.318000,HARD,33.0,True,Ferrari,1,False,79.319
LEC,16,35.0,0 days 00:01:18.530000,0 days 00:00:20.503000,0 days 00:00:36.672000,0 days 00:00:21.355000,HARD,34.0,True,Ferrari,1,False,78.53
LEC,16,36.0,0 days 00:01:18.689000,0 days 00:00:20.697000,0 days 00:00:36.919000,0 days 00:00:21.073000,HARD,35.0,True,Ferrari,1,False,78.689
LEC,16,37.0,0 days 00:01:18.925000,0 days 00:00:21.082000,0 days 00:00:36.570000,0 days 00:00:21.273000,HARD,36.0,True,Ferrari,1,False,78.925
